Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2018,10/31/2017,BRONX,B01,16279,40120,13705,6969,45278,23824
FY 2018,10/31/2017,BRONX,B02,7630,20099,7287,3533,22827,12190
FY 2018,10/31/2017,BRONX,B03,13152,35870,13723,6957,41962,22174
FY 2018,10/31/2017,BRONX,B04,23563,52880,17572,8572,58305,31560
FY 2018,10/31/2017,BRONX,B05,20958,50149,18478,9284,57465,30631
FY 2018,10/31/2017,BRONX,B06,11672,34980,14754,6999,39543,20827
FY 2018,10/31/2017,BRONX,B07,21070,44801,13643,6816,47425,26043
FY 2018,10/31/2017,BRONX,B08,9640,17255,3270,1701,16481,9766
FY 2018,10/31/2017,BRONX,B09,23919,50207,14204,6967,53482,28919
FY 2018,10/31/2017,BRONX,B10,9870,17999,3738,1917,17508,10571
FY 2018,10/31/2017,BRONX,B11,13815,26204,5904,3097,24042,13770
FY 2018,10/31/2017,BRONX,B12,17424,38228,12559,6304,37245,20228
FY 2018,10/31/2017,BROOKLYN,K01,35314,49515,6336,2683,51872,20254
FY 2018,10/31/2017,BROOKLYN,K02,7296,14199,3386,2096,13703,9019
FY 2018,10/31/2017,BROOKLYN,K03,21546,41401,10929,5902,45304,24086
FY 2018,10/31/2017,BROOKLYN,K04,16011,27263,5090,2760,26003,15412
FY 2018,10/31/2017,BROOKLYN,K05,27635,55861,14902,7893,62817,34852
FY 2018,10/31/2017,BROOKLYN,K06,5722,10534,1822,1058,9856,6363
FY 2018,10/31/2017,BROOKLYN,K07,27545,35925,3647,1884,23106,13102
FY 2018,10/31/2017,BROOKLYN,K08,10876,21644,6271,3613,21407,13399
FY 2018,10/31/2017,BROOKLYN,K09,14646,23153,4626,2610,21118,12507
FY 2018,10/31/2017,BROOKLYN,K10,18951,25232,2351,1213,17098,9699
FY 2018,10/31/2017,BROOKLYN,K11,34247,48910,3992,2017,37470,21513
FY 2018,10/31/2017,BROOKLYN,K12,52525,70448,9793,2638,62727,20395
FY 2018,10/31/2017,BROOKLYN,K13,16431,35407,5063,2488,32615,21036
FY 2018,10/31/2017,BROOKLYN,K14,25016,38323,5637,2931,32870,18674
FY 2018,10/31/2017,BROOKLYN,K15,21536,34558,3624,1796,28439,17227
FY 2018,10/31/2017,BROOKLYN,K16,12395,32018,11848,6159,36341,20002
FY 2018,10/31/2017,BROOKLYN,K17,20771,34750,8563,4669,30808,18866
FY 2018,10/31/2017,BROOKLYN,K18,20200,32227,5958,3186,27660,16306
FY 2018,10/31/2017,MANHATTAN,M01,1640,3160,728,649,2259,1758
FY 2018,10/31/2017,MANHATTAN,M02,3140,4521,371,282,3123,2456
FY 2018,10/31/2017,MANHATTAN,M03,25670,44879,6232,4022,37624,25065
FY 2018,10/31/2017,MANHATTAN,M04,6269,12914,3089,2040,11530,8661
FY 2018,10/31/2017,MANHATTAN,M05,1787,4872,2008,1306,4325,3272
FY 2018,10/31/2017,MANHATTAN,M06,3381,5942,1068,854,4902,4206
FY 2018,10/31/2017,MANHATTAN,M07,8950,18070,3773,2517,16494,12320
FY 2018,10/31/2017,MANHATTAN,M08,4959,7948,823,565,5537,4405
FY 2018,10/31/2017,MANHATTAN,M09,12256,23720,5273,3270,22990,14820
FY 2018,10/31/2017,MANHATTAN,M10,14211,31705,9218,5579,34211,21322
FY 2018,10/31/2017,MANHATTAN,M11,18491,40954,9883,6163,43054,26344
FY 2018,10/31/2017,MANHATTAN,M12,29044,50848,7076,4359,48826,32439
FY 2018,10/31/2017,QUEENS,Q01,22124,32119,3992,2308,22469,13296
FY 2018,10/31/2017,QUEENS,Q02,16505,20385,1514,952,10776,6688
FY 2018,10/31/2017,QUEENS,Q03,34108,41612,2939,1785,26144,14802
FY 2018,10/31/2017,QUEENS,Q04,36263,44722,2941,1816,27182,15465
FY 2018,10/31/2017,QUEENS,Q05,18046,24298,2200,1307,18709,10642
FY 2018,10/31/2017,QUEENS,Q06,9269,14043,889,572,10168,6967
FY 2018,10/31/2017,QUEENS,Q07,38925,50427,3680,2344,26273,17076
FY 2018,10/31/2017,QUEENS,Q08,18087,25962,3143,2013,17850,10481
